ticker,exDate,paymentDate,recordDate,amount,declaredDate
AAPL,2021-02-05,2021-02-11,2021-02-08,0.205,
AAPL,2020-11-06,2020-11-12,2020-11-09,0.205,
AAPL,2020-08-07,2020-08-13,2020-08-10,0.205,
AAPL,2020-05-08,2020-05-14,2020-05-11,0.82,
AAPL,2020-02-07,2020-02-13,2020-02-10,0.77,
AAPL,2019-11-07,2019-11-14,2019-11-11,0.77,
AAPL,2019-08-09,2019-08-15,2019-08-12,0.77,
AAPL,2019-05-10,2019-05-16,2019-05-13,0.77,
AAPL,2019-02-08,2019-02-14,2019-02-11,0.73,
AAPL,2018-11-08,2018-11-15,2018-11-12,0.73,2018-11-01
AAPL,2018-08-10,2018-08-16,2018-08-13,0.73,2018-07-31
AAPL,2018-05-11,2018-05-17,2018-05-14,0.73,2018-05-01
AAPL,2018-02-09,2018-02-15,2018-02-12,0.63,2018-02-01
AAPL,2017-11-10,2017-11-16,2017-11-13,0.63,2017-11-02
AAPL,2017-08-10,2017-08-17,2017-08-14,0.63,2017-08-01
AAPL,2017-05-11,2017-05-18,2017-05-15,0.63,2017-05-02
AAPL,2017-02-09,2017-02-16,2017-02-13,0.57,2017-01-31
AAPL,2016-11-03,2016-11-10,2016-11-07,0.57,2016-10-25
AAPL,2016-08-04,2016-08-11,2016-08-08,0.57,2016-07-26
AAPL,2016-05-05,2016-05-12,2016-05-09,0.57,2016-04-26
AAPL,2016-02-04,2016-02-11,2016-02-08,0.52,2016-01-26
AAPL,2015-11-05,2015-11-12,2015-11-09,0.52,2015-10-27
AAPL,2015-08-06,2015-08-13,2015-08-10,0.52,2015-07-21
AAPL,2015-05-07,2015-05-14,2015-05-11,0.52,2015-04-27
AAPL,2015-02-05,2015-02-12,2015-02-09,0.47,2015-01-27
AAPL,2014-11-06,2014-11-13,2014-11-10,0.47,2014-10-20
AAPL,2014-08-07,2014-08-14,2014-08-11,0.47,2014-07-22
AAPL,2014-05-08,2014-05-15,2014-05-12,3.29,2014-04-23
AAPL,2014-02-06,2014-02-13,2014-02-10,3.05,2014-01-27
AAPL,2013-11-06,2013-11-14,2013-11-11,3.05,2013-10-28
AAPL,2013-08-08,2013-08-15,2013-08-12,3.05,2013-07-23
AAPL,2013-05-09,2013-05-16,2013-05-13,3.05,2013-04-23
AAPL,2013-02-07,2013-02-14,2013-02-11,2.65,2013-01-23
AAPL,2012-11-07,2012-11-15,2012-11-12,2.65,2012-10-25
AAPL,2012-08-09,2012-08-16,2012-08-13,2.65,2012-07-24
AAPL,1995-11-21,1995-11-21,1995-11-21,0.12,
AAPL,1995-08-16,1995-08-16,1995-08-16,0.12,
AAPL,1995-05-26,1995-05-26,1995-05-26,0.12,
AAPL,1995-02-13,1995-02-13,1995-02-13,0.12,
AAPL,1994-11-18,1994-11-18,1994-11-18,0.12,
AAPL,1994-08-15,1994-08-15,1994-08-15,0.12,
AAPL,1994-05-27,1994-05-27,1994-05-27,0.12,
AAPL,1994-02-07,1994-02-07,1994-02-07,0.12,
AAPL,1993-11-19,1993-11-19,1993-11-19,0.12,
AAPL,1993-08-16,1993-08-16,1993-08-16,0.12,
AAPL,1993-05-28,1993-05-28,1993-05-28,0.12,
AAPL,1993-02-12,1993-02-12,1993-02-12,0.12,
AAPL,1992-11-30,1992-11-30,1992-11-30,0.12,
AAPL,1992-08-17,1992-08-17,1992-08-17,0.12,
AAPL,1992-06-01,1992-06-01,1992-06-01,0.12,
AAPL,1992-02-14,1992-02-14,1992-02-14,0.12,
AAPL,1991-11-18,1991-11-18,1991-11-18,0.12,
AAPL,1991-08-19,1991-08-19,1991-08-19,0.12,
AAPL,1991-05-20,1991-05-20,1991-05-20,0.12,
AAPL,1991-02-15,1991-02-15,1991-02-15,0.12,
AAPL,1990-11-16,1990-11-16,1990-11-16,0.12,
AAPL,1990-08-20,1990-08-20,1990-08-20,0.11,
AAPL,1990-05-21,1990-05-21,1990-05-21,0.11,
AAPL,1990-02-16,1990-02-16,1990-02-16,0.11,
AAPL,1989-11-17,1989-11-17,1989-11-17,0.11,
AAPL,1989-08-21,1989-08-21,1989-08-21,0.1,
AAPL,1989-05-22,1989-05-22,1989-05-22,0.1,
AAPL,1989-02-17,1989-02-17,1989-02-17,0.1,
AAPL,1988-11-21,1988-11-21,1988-11-21,0.1,
