ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
AAPL,Apple Inc,2022-01-25T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
AAPL,Apple Inc,2021-10-27T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
AAPL,Apple Inc,2021-07-28T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
AAPL,Apple Inc,2021-04-28T20:00:00.000Z,AMC,0.98,,,EDT,-14400000,EQUITY
AAPL,Apple Inc.,2021-01-27T00:00:00.000Z,TNS,1.41,1.68,18.98,EDT,0,EQUITY
AAPL,Apple Inc.,2020-10-29T00:00:00.000Z,TNS,0.7,0.73,4.29,EDT,0,EQUITY
AAPL,Apple Inc.,2020-07-30T00:00:00.000Z,TNS,0.51,0.65,26.22,EDT,0,EQUITY
AAPL,Apple Inc.,2020-04-30T00:00:00.000Z,TNS,0.56,0.64,12.92,EDT,0,EQUITY
AAPL,Apple Inc.,2020-01-28T00:00:00.000Z,TNS,1.14,1.25,9.76,EDT,0,EQUITY
AAPL,Apple Inc.,2019-10-30T00:00:00.000Z,TNS,0.71,0.76,6.76,EDT,0,EQUITY
AAPL,Apple Inc.,2019-07-30T00:00:00.000Z,TNS,0.53,0.55,3.81,EDT,0,EQUITY
AAPL,Apple Inc.,2019-04-30T00:00:00.000Z,TNS,0.59,0.62,4.24,EDT,0,EQUITY
AAPL,Apple Inc.,2019-01-29T00:00:00.000Z,TNS,1.04,1.05,0.29,EDT,0,EQUITY
AAPL,Apple Inc.,2018-11-01T00:00:00.000Z,TNS,0.7,0.73,4.6,EDT,0,EQUITY
AAPL,Apple Inc.,2018-07-31T00:00:00.000Z,TNS,2.18,2.34,7.29,EDT,0,EQUITY
AAPL,Apple Inc.,2018-05-01T00:00:00.000Z,TNS,2.67,2.73,2.13,EDT,0,EQUITY
AAPL,Apple Inc.,2018-02-01T00:00:00.000Z,TNS,3.86,3.89,0.86,EDT,0,EQUITY
AAPL,Apple Inc.,2017-11-02T00:00:00.000Z,TNS,1.87,2.07,10.87,EDT,0,EQUITY
AAPL,Apple Inc.,2017-08-01T00:00:00.000Z,TNS,1.57,1.67,6.23,EDT,0,EQUITY
AAPL,Apple Inc.,2017-05-02T00:00:00.000Z,TNS,2.02,2.1,3.96,EDT,0,EQUITY
AAPL,Apple Inc.,2017-01-31T00:00:00.000Z,TNS,3.21,3.36,4.54,EDT,0,EQUITY
AAPL,Apple Inc.,2016-10-25T00:00:00.000Z,TNS,1.66,1.67,0.85,EDT,0,EQUITY
AAPL,Apple Inc.,2016-07-26T00:00:00.000Z,TNS,1.38,1.42,2.6,EDT,0,EQUITY
AAPL,Apple Inc.,2016-04-26T00:00:00.000Z,TNS,2.0,1.9,-4.9,EDT,0,EQUITY
AAPL,Apple Inc.,2016-01-26T00:00:00.000Z,TNS,3.23,3.28,1.64,EDT,0,EQUITY
AAPL,Apple Inc.,2015-10-27T00:00:00.000Z,TNS,1.88,1.96,4.26,EDT,0,EQUITY
AAPL,Apple Inc.,2015-07-21T00:00:00.000Z,TNS,1.81,1.85,2.15,EDT,0,EQUITY
AAPL,Apple Inc.,2015-04-27T00:00:00.000Z,TNS,2.16,2.33,7.92,EDT,0,EQUITY
AAPL,Apple Inc.,2015-01-27T00:00:00.000Z,TNS,2.6,3.06,17.51,EDT,0,EQUITY
AAPL,Apple Inc.,2014-10-20T00:00:00.000Z,TNS,1.31,1.42,8.81,EDT,0,EQUITY
AAPL,Apple Inc.,2014-07-22T00:00:00.000Z,TNS,1.23,1.28,3.98,EDT,0,EQUITY
AAPL,Apple Inc.,2014-04-23T00:00:00.000Z,TNS,1.46,1.66,13.99,EDT,0,EQUITY
AAPL,Apple Inc.,2014-01-27T00:00:00.000Z,TNS,2.01,2.07,3.08,EDT,0,EQUITY
AAPL,Apple Inc.,2013-10-28T00:00:00.000Z,TNS,1.14,1.18,3.82,EDT,0,EQUITY
AAPL,Apple Inc.,2013-07-23T00:00:00.000Z,TNS,1.05,1.07,2.05,EDT,0,EQUITY
AAPL,Apple Inc.,2013-04-23T00:00:00.000Z,TNS,1.43,1.44,0.88,EDT,0,EQUITY
AAPL,Apple Inc.,2013-01-23T00:00:00.000Z,TNS,1.92,1.97,2.52,EDT,0,EQUITY
AAPL,Apple Inc.,2012-10-25T00:00:00.000Z,TNS,1.25,1.24,-0.91,EDT,0,EQUITY
AAPL,Apple Inc.,2012-07-24T00:00:00.000Z,TNS,1.48,1.33,-10.12,EDT,0,EQUITY
AAPL,Apple Inc.,2012-04-24T00:00:00.000Z,TNS,1.43,1.76,22.55,EDT,0,EQUITY
AAPL,Apple Inc.,2012-01-24T00:00:00.000Z,TNS,1.45,1.98,36.46,EDT,0,EQUITY
AAPL,Apple Inc.,2011-10-18T00:00:00.000Z,TNS,1.06,1.01,-4.54,EDT,0,EQUITY
AAPL,Apple Inc.,2011-07-19T00:00:00.000Z,TNS,0.83,1.11,33.58,EDT,0,EQUITY
AAPL,Apple Inc.,2011-04-20T00:00:00.000Z,TNS,0.77,0.91,19.09,EDT,0,EQUITY
AAPL,Apple Inc.,2011-01-18T00:00:00.000Z,TNS,0.77,0.92,19.03,EDT,0,EQUITY
AAPL,Apple Inc.,2010-10-18T00:00:00.000Z,TNS,0.58,0.66,13.65,EDT,0,EQUITY
AAPL,Apple Inc.,2010-07-20T00:00:00.000Z,TNS,0.44,0.5,12.68,EDT,0,EQUITY
AAPL,Apple Inc.,2010-04-20T00:00:00.000Z,TNS,0.35,0.48,36.1,EDT,0,EQUITY
AAPL,Apple Inc.,2010-01-25T00:00:00.000Z,TNS,0.3,0.52,76.0,EDT,0,EQUITY
AAPL,Apple Inc.,2009-10-19T00:00:00.000Z,TNS,0.2,0.26,27.8,EDT,0,EQUITY
AAPL,Apple Inc.,2009-07-21T00:00:00.000Z,TNS,0.17,0.19,15.05,EDT,0,EQUITY
AAPL,Apple Inc.,2009-04-22T00:00:00.000Z,TNS,0.16,0.19,22.05,EDT,0,EQUITY
AAPL,Apple Inc.,2009-01-21T00:00:00.000Z,TNS,0.2,0.25,28.26,EDT,0,EQUITY
AAPL,Apple Inc.,2008-10-21T00:00:00.000Z,TNS,0.16,0.18,13.3,EDT,0,EQUITY
